OBJECTID,Primary Substation Name,x,y
107,HORSESHOE BUSH,1744694.7198,5941935.2568
108,P795/P827/P681,1747454.847,5914692.3835
109,ORATIA 33/11KV,1743562.6782,5912913.9206
110,TP PENROSE 220/110/33/22kV,1761755.8824,5914120.4775
111,EAST TAMAKI 33/11KV,1767697.1452,5911174.3267
112,MANGERE WEST 33/11kV,1758120.015,5907427.5737
113,LIVERPOOL HOSPITAL,1757265.0782,5919620.6341
114,SYLVIA PARK 33/11kV,1764031.0673,5913288.2874
115,CLEVEDON 33/11kV,1781272.2065,5904156.6076
116,RED BEACH 33/11KV,1751787.8322,5947661.1491
117,P407/P659/P785,1747162.9188,5913899.4903
118,GULF HARBOUR 33/11KV,1760340.0513,5946430.6644
119,P899/P669/P861,1752192.9815,5946888.5685
120,GREENHITHE 33/11KV,1750392.1633,5929251.0731
121,CLENDON 33/11KV,1766047.7704,5900533.0932
122,RANUI 33/11KV,1743526.9692,5919675.1073
123,HILLSBOROUGH 22/11KV,1756601.9489,5912911.0014
124,TP Wairau Rd 220/33 kV,1755876.5551,5928070.4039
125,TP HOBSON 220/110kV,1757119.6735,5920857.0996
126,ROSEDALE,1753707.5664,5932766.4659
127,FLAT BUSH 33/11KV,1770443.5978,5907100.0975
128,PORTABLE SWITCH ROOM NO.1,1741245.2072,5930439.4929
129,Westgate 33/11kV,1744048.6224,5923695.5735
130,P1007/P1155/P1023,1751371.7112,5931291.5789
131,HOBSONVILLE POINT,1747370.8002,5926703.3529
132,KAUKAPAKAPA,1734481.0941,5945654.4973
133,HIGHBROOK 22/22KV,1766864.6342,5910369.8787
134,BIG OMAHA 33/11KV,1755481.498,5978621.3299
135,WEST WIRI 33/11kV,1764808.8595,5903568.1594
136,Rotu Dr 33/11kV,1742807.1466,5924538.2258
137,BROOKBY 33kV,1777305.6626,5906173.4204
138,DCI Albany Datacentre 33kV,1751284.9655,5931569.315
